time_months_after_landmark,cumulative_baseline_hazard_reference,baseline_survival_reference
0.0020123203285421316,0,1
0.0034702258726900504,0,1
0.03646817248460004,0,1
0.13624229979466101,1.3794420983458987e-4,0.9998620653040304
0.1605338809034904,2.759407343514904e-4,0.9997240973337913
0.2020944558521562,2.759407343514904e-4,0.9997240973337913
0.290718685831622,2.759407343514904e-4,0.9997240973337913
0.2933880903490762,4.1400433674434935e-4,0.9995860813512256
0.2948254620123202,4.1400433674434935e-4,0.9995860813512256
0.29624229979466116,5.521758865557572e-4,0.9994479765344934
0.30053388090349104,6.904309105096495e-4,0.9993098073820668
0.33059548254620125,8.286952424085868e-4,0.9991716480306644
0.3962422997946608,8.286952424085868e-4,0.9991716480306644
0.42624229979466105,8.286952424085868e-4,0.9991716480306644
0.49624229979466133,9.670755283393693e-4,0.9990333919384954
0.5262422997946616,9.670755283393693e-4,0.9990333919384954
0.5597741273100609,9.670755283393693e-4,0.9990333919384954
0.5634496919917866,0.0011055962031134665,0.9988950147431946
0.6920739219712525,0.0011055962031134665,0.9988950147431946
0.7205338809034909,0.0011055962031134665,0.9988950147431946
0.7533880903490762,0.0011055962031134665,0.9988950147431946
0.7562422997946611,0.0011055962031134665,0.9988950147431946
0.7862422997946614,0.0012443873763426645,0.9987563865525728
0.8205338809034906,0.0013832832318501943,0.9986176730634063
0.8219712525667355,0.0015222377121665218,0.9984789203039932
0.8828131416837788,0.0015222377121665218,0.9984789203039932
0.8891170431211499,0.0016612766960684598,0.9983401024602362
0.9562422997946614,0.001800359419577293,0.9982012602552978
1.0191581108829568,0.001800359419577293,0.9982012602552978
1.0193634496919923,0.001800359419577293,0.9982012602552978
1.021047227926078,0.001800359419577293,0.9982012602552978
1.0233880903490757,0.0019396140462179514,0.9980622657895245
1.1462422997946609,0.0022185791923727974,0.9977838800354435
1.1848254620123209,0.0022185791923727974,0.9977838800354435
1.21205338809035,0.0022185791923727974,0.9977838800354435
1.2195071868583154,0.0022185791923727974,0.9977838800354435
1.2462422997946614,0.002358186526832121,0.9976445918106405
1.346242299794661,0.002358186526832121,0.9976445918106405
1.4134496919917872,0.0024978933508887947,0.9975052237887398
1.4162422997946613,0.0026377831334144955,0.9973656927596259
1.5434496919917862,0.0026377831334144955,0.9973656927596259
1.5462422997946612,0.0027777222150942595,0.9972261320857063
1.6133880903490756,0.0027777222150942595,0.9972261320857063
1.7762422997946616,0.0029177537919269038,0.9970864987147403
1.8362422997946612,0.0029177537919269038,0.9970864987147403
1.840554414784395,0.0029177537919269038,0.9970864987147403
1.9735523613963037,0.0029177537919269038,0.9970864987147403
2.0405338809034905,0.003057950502235666,0.9969467202661955
2.0662422997946615,0.003057950502235666,0.9969467202661955
2.166242299794661,0.003057950502235666,0.9969467202661955
2.1997535934291577,0.003057950502235666,0.9969467202661955
2.2662422997946607,0.003198352199872312,0.9968067570799812
2.2948254620123203,0.003198352199872312,0.9968067570799812
2.296242299794662,0.0033388278697637137,0.9966667398177678
2.296344969199178,0.0033388278697637137,0.9966667398177678
2.3276796714579056,0.003479415750340671,0.9965266304022489
2.336242299794661,0.003479415750340671,0.9965266304022489
2.3962422997946615,0.003479415750340671,0.9965266304022489
2.426242299794661,0.003479415750340671,0.9965266304022489
2.4919712525667355,0.003479415750340671,0.9965266304022489
2.525256673511294,0.003620101405300075,0.9963864432619574
2.5662422997946615,0.003620101405300075,0.9963864432619574
2.596242299794661,0.0037608826851217047,0.9962461805766898
2.62624229979466,0.0037608826851217047,0.9962461805766898
2.6299178644763868,0.0037608826851217047,0.9962461805766898
2.823880903490759,0.0037608826851217047,0.9962461805766898
2.853429158110883,0.0037608826851217047,0.9962461805766898
2.8535318275154005,0.0037608826851217047,0.9962461805766898
2.8619917864476387,0.0037608826851217047,0.9962461805766898
2.8950102669404516,0.0037608826851217047,0.9962461805766898
2.8950513347022593,0.0037608826851217047,0.9962461805766898
2.926242299794661,0.0037608826851217047,0.9962461805766898
2.9862422997946614,0.0037608826851217047,0.9962461805766898
3.0262422997946605,0.0037608826851217047,0.9962461805766898
3.086242299794661,0.003902242674503671,0.9961053611805303
3.12347022587269,0.003902242674503671,0.9961053611805303
3.1576796714579056,0.003902242674503671,0.9961053611805303
3.1862422997946607,0.003902242674503671,0.9961053611805303
3.1906776180698144,0.003902242674503671,0.9961053611805303
3.2873305954825467,0.004043909871030324,0.9959642557218101
3.4119917864476395,0.004043909871030324,0.9959642557218101
3.4153798767967145,0.004043909871030324,0.9959642557218101
3.48482546201232,0.004043909871030324,0.9959642557218101
3.5121355236139626,0.004043909871030324,0.9959642557218101
3.5162422997946607,0.004043909871030324,0.9959642557218101
3.547679671457906,0.004043909871030324,0.9959642557218101
3.5762422997946612,0.004043909871030324,0.9959642557218101
3.615913757700207,0.004043909871030324,0.9959642557218101
3.6455236139630407,0.004043909871030324,0.9959642557218101
3.6462422997946615,0.004186026538158835,0.9958227226585497
3.676242299794661,0.004328180186255649,0.9956811728868126
3.716262833675564,0.004328180186255649,0.9956811728868126
3.7763449691991786,0.004328180186255649,0.9956811728868126
3.7819917864476387,0.004328180186255649,0.9956811728868126
3.807535934291582,0.004328180186255649,0.9956811728868126
3.8464271047227925,0.004328180186255649,0.9956811728868126
3.9048665297741274,0.004328180186255649,0.9956811728868126
3.9062422997946613,0.004470503538591812,0.9955394742881783
3.9077823408624233,0.004470503538591812,0.9955394742881783
3.9450718685831623,0.004470503538591812,0.9955394742881783
3.9462422997946605,0.004470503538591812,0.9955394742881783
3.9765297741273096,0.004470503538591812,0.9955394742881783
4.006242299794661,0.004470503538591812,0.9955394742881783
4.009240246406571,0.004470503538591812,0.9955394742881783
4.036242299794661,0.004613046596283008,0.9953975771609265
4.03917864476386,0.004613046596283008,0.9953975771609265
4.106488706365503,0.004613046596283008,0.9953975771609265
4.109117043121151,0.004613046596283008,0.9953975771609265
4.136242299794662,0.004755701514316756,0.9952555889290461
4.176242299794661,0.004898375573901161,0.9951136019030231
4.205687885010267,0.004898375573901161,0.9951136019030231
4.206242299794661,0.004898375573901161,0.9951136019030231
4.266242299794661,0.004898375573901161,0.9951136019030231
4.271991786447638,0.004898375573901161,0.9951136019030231
4.339117043121149,0.004898375573901161,0.9951136019030231
4.367679671457906,0.004898375573901161,0.9951136019030231
4.39911704312115,0.004898375573901161,0.9951136019030231
4.406242299794662,0.004898375573901161,0.9951136019030231
4.436242299794661,0.00504135697300112,0.9949713293393672
4.4719712525667354,0.00504135697300112,0.9949713293393672
4.496242299794662,0.005184465579219569,0.9948289505672548
4.56482546201232,0.005184465579219569,0.9948289505672548
4.596242299794661,0.005184465579219569,0.9948289505672548
4.601232032854208,0.005184465579219569,0.9948289505672548
4.6294045174538,0.005184465579219569,0.9948289505672548
4.696242299794661,0.005184465579219569,0.9948289505672548
4.726242299794662,0.005184465579219569,0.9948289505672548
4.759178644763861,0.005184465579219569,0.9948289505672548
4.759383983572895,0.005184465579219569,0.9948289505672548
4.766242299794661,0.005184465579219569,0.9948289505672548
4.793655030800822,0.005184465579219569,0.9948289505672548
4.826242299794662,0.005184465579219569,0.9948289505672548
4.893511293634497,0.005184465579219569,0.9948289505672548
4.896242299794662,0.005327932299453321,0.9946862359581666
4.899137577002054,0.0054714707374645165,0.9945434704959568
4.92829568788501,0.0054714707374645165,0.9945434704959568
4.965071868583162,0.0054714707374645165,0.9945434704959568
4.990533880903492,0.0054714707374645165,0.9945434704959568
4.996714579055441,0.0054714707374645165,0.9945434704959568
5.026242299794661,0.005615212006358189,0.9944005238294515
5.056242299794662,0.005615212006358189,0.9944005238294515
5.0576796714579055,0.005615212006358189,0.9944005238294515
5.093388090349075,0.0057590791381143735,0.9942574725687053
5.096262833675565,0.0057590791381143735,0.9942574725687053
5.096406570841888,0.0057590791381143735,0.9942574725687053
5.123388090349076,0.0057590791381143735,0.9942574725687053
5.126242299794661,0.0059031795429171086,0.994114209986776
5.153634496919917,0.006047288251588107,0.9939709597937514
5.190533880903491,0.006047288251588107,0.9939709597937514
5.2219712525667354,0.006047288251588107,0.9939709597937514
5.2262833675564675,0.006047288251588107,0.9939709597937514
5.286242299794661,0.006191622716006687,0.9938275058805428
5.29340862422998,0.006336161239315255,0.9936838699011357
5.320574948665297,0.006480764524029256,0.9935401903380994
5.326242299794662,0.006625406648459712,0.993396492966859
5.3519712525667344,0.006625406648459712,0.993396492966859
5.356242299794661,0.006625406648459712,0.993396492966859
5.358952772073921,0.0067701553222309354,0.9932527105483812
5.383675564681726,0.0067701553222309354,0.9932527105483812
5.392032854209446,0.006914957426782679,0.9931088958781268
5.417679671457905,0.007059789583136481,0.9929650721906415
5.456242299794661,0.007059789583136481,0.9929650721906415
5.481971252566735,0.007204776012202416,0.9928211161667244
5.520698151950718,0.0073497755649493315,0.9926771679853857
5.554866529774128,0.007494782110052191,0.9925332337348101
5.5862422997946615,0.007494782110052191,0.9925332337348101
5.614825462012321,0.007494782110052191,0.9925332337348101
5.614989733059549,0.007494782110052191,0.9925332337348101
5.619158110882957,0.007494782110052191,0.9925332337348101
5.653511293634497,0.007494782110052191,0.9925332337348101
5.814866529774128,0.0076400544209554826,0.9923890566110226
5.816242299794662,0.0076400544209554826,0.9923890566110226
5.819383983572895,0.007785403501215068,0.9922448242566585
5.8524435318275145,0.007785403501215068,0.9922448242566585
5.876242299794661,0.007930779473771535,0.9921005861849471
5.877679671457906,0.007930779473771535,0.9921005861849471
5.910800821355237,0.007930779473771535,0.9921005861849471
5.9162422997946615,0.008076376531192071,0.9919561497739467
5.946242299794661,0.008076376531192071,0.9919561497739467
6.010718685831622,0.008076376531192071,0.9919561497739467
6.016242299794661,0.008076376531192071,0.9919561497739467
6.046242299794662,0.008076376531192071,0.9919561497739467
6.046262833675564,0.008076376531192071,0.9919561497739467
6.0791581108829575,0.008076376531192071,0.9919561497739467
6.106386036960987,0.008076376531192071,0.9919561497739467
6.112156057494866,0.008076376531192071,0.9919561497739467
6.146242299794662,0.008076376531192071,0.9919561497739467
6.176242299794661,0.008368167267319867,0.9916667483831735
6.20924024640657,0.008368167267319867,0.9916667483831735
6.2412731006160165,0.008368167267319867,0.9916667483831735
6.276242299794661,0.008368167267319867,0.9916667483831735
6.30340862422998,0.008514149709734038,0.9915219930153117
6.307720739219712,0.008514149709734038,0.9915219930153117
6.310554414784394,0.008514149709734038,0.9915219930153117
6.371006160164272,0.008514149709734038,0.9915219930153117
6.405379876796715,0.008514149709734038,0.9915219930153117
6.440554414784395,0.008514149709734038,0.9915219930153117
6.443408624229979,0.008660270197990937,0.9913771219221501
6.506242299794661,0.008806512048721382,0.9912321516976836
6.536242299794661,0.00895281735084781,0.9910871397865165
6.5405338809034905,0.009099243147719514,0.9909420296864943
6.606242299794661,0.009245681569341295,0.9907969283242148
6.633552361396304,0.009392175853551224,0.9906517928684195
6.636242299794662,0.009538731830633456,0.9905066175653814
6.673429158110883,0.00968529733781375,0.9903614540988509
6.706242299794661,0.009832157028045506,0.9902160206019051
6.736242299794662,0.009832157028045506,0.9902160206019051
6.736303901437371,0.009832157028045506,0.9902160206019051
6.769117043121151,0.009832157028045506,0.9902160206019051
6.800677618069816,0.009832157028045506,0.9902160206019051
6.837741273100615,0.009832157028045506,0.9902160206019051
6.866242299794661,0.009832157028045506,0.9902160206019051
6.896242299794662,0.009979248814651145,0.9900703786699377
6.966242299794662,0.009979248814651145,0.9900703786699377
6.967905544147844,0.009979248814651145,0.9900703786699377
6.996242299794662,0.009979248814651145,0.9900703786699377
7.026242299794661,0.010273758705404439,0.9897788360840725
7.066242299794662,0.010273758705404439,0.9897788360840725
7.096242299794661,0.010421092282350683,0.989633019169894
7.097679671457905,0.010421092282350683,0.989633019169894
7.160636550308007,0.010421092282350683,0.989633019169894
7.163388090349075,0.010421092282350683,0.989633019169894
7.196447638603696,0.010421092282350683,0.989633019169894
7.226242299794662,0.010568693295847743,0.9894869591128458
7.296242299794662,0.010716375215974367,0.989340840568583
7.324866529774128,0.010716375215974367,0.989340840568583
7.396242299794662,0.010716375215974367,0.989340840568583
7.422258726899383,0.010716375215974367,0.989340840568583
7.426242299794661,0.010716375215974367,0.989340840568583
7.456242299794661,0.010716375215974367,0.989340840568583
7.460657084188912,0.010716375215974367,0.989340840568583
7.4608829568788515,0.010716375215974367,0.989340840568583
7.46092402464066,0.010716375215974367,0.989340840568583
7.486242299794662,0.010716375215974367,0.989340840568583
7.489240246406571,0.010716375215974367,0.989340840568583
7.526242299794661,0.010716375215974367,0.989340840568583
7.556242299794662,0.010716375215974367,0.989340840568583
7.559733059548255,0.010716375215974367,0.989340840568583
7.588028747433267,0.010716375215974367,0.989340840568583
7.626242299794661,0.010864677582436795,0.9891941298597302
7.656262833675566,0.010864677582436795,0.9891941298597302
